idno,stflife,gndr,cntry
15218,6,1,BG
15225,4,1,BG
15226,9,2,BG
15227,8,1,BG
15235,7,1,BG
15255,3,2,BG
15256,6,1,BG
15257,10,2,BG
15261,9,2,BG
15262,5,2,BG
15272,6,1,BG
15273,6,1,BG
15276,3,1,BG
15278,6,1,BG
15293,2,1,BG
15294,7,1,BG
15296,4,1,BG
15307,2,2,BG
15324,9,1,BG
15334,5,1,BG
15335,7,2,BG
15340,8,2,BG
15351,7,1,BG
15352,8,1,BG
15355,7,1,BG
15357,8,1,BG
15358,3,2,BG
15360,4,2,BG
15362,10,1,BG
15381,8,2,BG
15388,6,1,BG
15392,4,1,BG
15408,7,2,BG
15411,5,1,BG
15415,2,1,BG
15422,0,2,BG
15424,5,2,BG
15437,8,2,BG
15443,6,1,BG
15444,5,2,BG
15447,5,2,BG
15452,5,1,BG
15459,7,2,BG
15461,7,2,BG
15466,4,2,BG
15472,0,1,BG
15479,9,2,BG
15481,8,1,BG
15500,0,2,BG
15502,7,1,BG
15508,2,1,BG
15525,7,1,BG
15535,8,1,BG
15536,5,2,BG
15539,3,1,BG
15542,10,2,BG
15545,3,1,BG
15550,5,1,BG
15561,6,1,BG
15568,7,1,BG
15575,10,1,BG
15582,7,2,BG
15594,8,1,BG
15595,5,2,BG
15603,6,1,BG
15604,3,2,BG
15605,6,1,BG
15612,5,1,BG
15614,2,2,BG
15619,3,2,BG
15626,10,1,BG
15628,8,2,BG
15632,4,1,BG
15633,5,2,BG
15645,4,2,BG
15646,5,2,BG
15649,3,1,BG
15653,7,1,BG
15656,9,1,BG
15657,2,1,BG
15659,7,2,BG
15661,9,2,BG
15666,5,1,BG
15667,5,2,BG
15675,8,2,BG
15682,3,2,BG
15688,6,2,BG
15702,8,1,BG
15703,3,1,BG
15710,5,1,BG
15719,9,1,BG
15733,3,2,BG
15741,2,1,BG
15747,9,1,BG
15750,4,1,BG
15769,9,2,BG
15771,8,2,BG
15778,5,2,BG
15780,4,2,BG
15783,10,1,BG
15801,10,2,BG
15816,10,1,BG
15817,8,1,BG
15820,7,1,BG
15824,0,2,BG
15834,6,2,BG
15836,4,1,BG
15842,7,1,BG
15856,7,2,BG
15857,8,2,BG
15860,6,2,BG
15867,3,2,BG
15868,4,2,BG
15870,0,1,BG
15876,7,1,BG
15891,9,2,BG
15910,7,2,BG
15916,7,1,BG
15925,2,2,BG
15927,5,2,BG
15945,4,2,BG
15946,5,1,BG
15949,7,1,BG
15957,4,2,BG
15959,5,1,BG
15961,6,1,BG
15970,8,1,BG
15972,4,2,BG
15977,4,2,BG
15978,5,1,BG
15982,6,2,BG
15986,5,2,BG
15992,8,1,BG
15994,8,1,BG
15996,8,1,BG
15998,7,2,BG
16005,9,1,BG
16006,1,2,BG
16011,7,1,BG
16015,5,2,BG
16030,4,1,BG
16035,5,2,BG
16040,5,1,BG
16055,1,2,BG
16058,6,2,BG
16068,7,1,BG
16072,8,2,BG
16074,4,1,BG
16076,7,2,BG
16080,10,2,BG
16096,0,1,BG
16097,8,2,BG
16100,8,2,BG
16122,2,2,BG
16128,7,1,BG
16131,2,2,BG
16137,6,1,BG
16141,10,2,BG
16148,7,2,BG
16152,8,1,BG
16156,5,1,BG
16189,8,2,BG
16196,5,1,BG
16197,6,2,BG
16198,5,1,BG
16206,8,2,BG
16211,7,2,BG
16226,3,2,BG
16232,8,1,BG
16234,5,2,BG
16236,8,1,BG
16241,8,2,BG
16255,5,2,BG
16258,2,2,BG
16259,7,2,BG
16278,7,2,BG
16280,1,1,BG
16283,4,1,BG
16284,4,1,BG
16289,8,1,BG
16290,9,1,BG
16292,10,1,BG
16293,7,1,BG
16305,0,2,BG
16310,7,1,BG
16321,7,2,BG
16325,8,2,BG
16331,9,1,BG
16332,6,1,BG
16337,5,2,BG
16366,5,2,BG
16380,6,2,BG
16387,10,1,BG
16388,3,2,BG
16391,6,1,BG
16397,8,2,BG
16402,6,1,BG
16406,5,2,BG
16411,4,2,BG
